Blk,spp,time,composition,Plot,ANVI.action,SEPA.action,TRFL.action,PAAN.action,SCIN.action,SOPI.action,ANVI.outcome,SEPA.outcome,TRFL.outcome,PAAN.outcome,SCIN.outcome,SOPI.outcome,PlantS,S5,percov,Div,Res,divXres,n.plants
1,ANVI,1,ANVIM,1ANVIMOO 2012,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,ANVI,1,ANVIM,1ANVIMRO 2012,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,ANVI,1,ANVIP,1ANVIPOO 2012,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,ANVI,1,ANVIP,1ANVIPRO 2012,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,PAAN,1,PAANM,1PAANMOO 2012,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
1,PAAN,1,PAANM,1PAANMRO 2012,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
1,PAAN,1,PAANP,1PAANPOO 2012,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
1,PAAN,1,PAANP,1PAANPRO 2012,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
1,SCIN,1,SCINM,1SCINMOO 2012,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
1,SCIN,1,SCINM,1SCINMRO 2012,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
1,SCIN,1,SCINP,1SCINPOO 2012,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
1,SCIN,1,SCINP,1SCINPRO 2012,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
1,SEPA,1,SEPAM,1SEPAMOO 2012,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,SEPA,1,SEPAM,1SEPAMRO 2012,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,SEPA,1,SEPAP,1SEPAPOO 2012,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,SEPA,1,SEPAP,1SEPAPRO 2012,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,SOPI,1,SOPIM,1SOPIMOO 2012,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
1,SOPI,1,SOPIM,1SOPIMRO 2012,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
1,SOPI,1,SOPIP,1SOPIPOO 2012,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
1,SOPI,1,SOPIP,1SOPIPRO 2012,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
1,TRFL,1,TRFLM,1TRFLMOO 2012,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,TRFL,1,TRFLM,1TRFLMRO 2012,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,TRFL,1,TRFLP,1TRFLPOO 2012,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,TRFL,1,TRFLP,1TRFLPRO 2012,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
2,ANVI,1,ANVIM,2ANVIMOO 2012,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2,ANVI,1,ANVIM,2ANVIMRO 2012,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2,ANVI,1,ANVIP,2ANVIPOO 2012,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
2,ANVI,1,ANVIP,2ANVIPRO 2012,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
2,PAAN,1,PAANM,2PAANMOO 2012,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
2,PAAN,1,PAANM,2PAANMRO 2012,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
2,PAAN,1,PAANP,2PAANPOO 2012,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
2,PAAN,1,PAANP,2PAANPRO 2012,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
2,SCIN,1,SCINM,2SCINMOO 2012,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
2,SCIN,1,SCINM,2SCINMRO 2012,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
